index,year,count,sentiment,song,singer,line
0,1992,0,4,4,4,4
1,1993,1,2,Happy People,Prince Ital Joe,Mr. Bill Clinton and the bird Hillary / Wrap up the war on the brutality
2,1993,2,2,Girls Got a Gun,Yo-Yo,Fuck Bill Clinton and Hillary
3,1994,1,2,Dark Night of the Blood Spiller,Chino XL,Getting my dick sucked / On the cover of Source magazine by Hillary Clinton
4,1994,2,2,Hand of the Dead Body,Ice Cube,"And I can't stop, won't stop / So fuck Bill and Hillary"
5,1996,1,2,The Ghetto Won't Change,Master P,"Every dollar I make, ten go back to Hillary and Bill, I guess life is real"
6,1998,1,2,Cradle Rock,Method Man,Bad vibes filling me with thoughts of conspiracy / White Water scandals with Bill Clinton/Hillary
7,1999,1,2,Role Model,Eminem,Hillary Clinton tried to slap me and call me a pervert / I ripped her fucking tonsils out and fed her sherbet (bitch!)
8,2001,1,2,Fukinwichu,Cunninlynguists,Send Hillary the Bill and Lewinski scene in claymation
9,2002,1,2,Hit It for Free,Field Mob,I'm like Farakahn being best friends with porky pig / Or like Hillary Clinton dikin' with Lewinsky
10,2004,1,2,American History X,Ill Bill,"I eat politicians for breakfast / Till infinity it's endless / Bill and Hillary, George Bush, everybody's gettin it"
11,2008,1,2,Pressure,Killer Mike,Or you a dirty n---- working for a fucking Clinton / Or you dirty n---- working for a fucking Bush
12,2008,2,2,Smilin' Faces,Kutt Calhoun,Look at Hillary Clinton when she speak / Looking like the devil with a grin
13,2008,3,2,Unapologetic,Charles Hamilton,"You more like Hillary / Only in it cuz you used to fuck the ex leader, n----"
14,2008,4,2,Let's Stay Together,Ludacris,"Hillary's still with Bill Clinton, how do they do it? / He got his dick sucked and the whole damn WORLD knew it"
15,2008,5,2,Politics as Usual (Obama Is Here),Ludacris,Hillary hated on you so that {censored} bitch is irrelevant
16,2008,6,2,A Milli,Fabolous,"Hillary, Bill Clin--Fuck it. They don't get it"
17,2008,7,2,Shoot Me a Fair One,Papoose,"More like Obama versus Hillary, nothing / A intelligent black man against a woman"
18,2008,8,2,Fall Down Brew,R.A. the Rugged Man,"Sewed Hillary Clinton's mouth, and that's after drinkin just one"
19,2008,9,2,Stand Tall,Ice Cube,Never put your trust in Hillary Rodham / Cause I can tell you now it's gon' turn out rotten
20,2008,10,2,Gang Love,T.H.U.G. Angelz,It's like we paying them rent to live inside a prison / Hilary Clinton is benefiting them politicians
21,2009,1,2,RNQ,Rhymefest,"Hillary, Jesse Jack, even Barack's involved / When police beatin' our ass, none of y'all do a damn thang"
22,2010,1,2,Opening Day,E-dubble,"Specially when you throwin' like Hillary Rodham / Problem, from top to bottom"
23,2011,1,2,Nightmares of the Bottom (Triggamix),Trey Songz,She think she's my bottom bitch; Hillary Rodham-ish
24,2012,1,2,No Church in the Wild Freestyle,Angel Haze,"We goverend by fucking animals hello Mr. Obama, Comma Mrs. Obama comma future elections, hello Hillary Rodham"
25,2012,2,2,Gossip Folks,Angel Haze,‰ЫчCause I was alone at the bottom / Kept getting played like Hilary Rodham
26,2012,3,2,Fuck the Government,Mediumjay,"Fuck, The Governments Shit / Fuck, Hillary Clinton that Bitch"
27,2013,1,2,Thugz Tear Dropz,Young Noble,Until we really saw the true problem / Even Hilary couldn't rob him
28,2013,2,2,Shorty Baby,Bas,Makin me call Lewinski / You fuckin up like Hilary did
29,2015,1,2,Sway in the Morning Freestyle,Eminem,"But Hilllary, I promise to wipe my server clean if you face subpoenas"
30,2017,0,4,4,4,4
