index,year,count,sentiment,song,singer,line
0,1992,0,4,4,4,4
1,1993,1,2,The Coup,The Coup,"Break yourself Trump, it's collection day"
2,2005,1,2,Dumb,The High & Mighty,"I'm Donald Trump, with raccoon hair-dos"
3,2005,2,2,Right to Bare Arms,Killah Priest,This one's for the cops and the war lord Trump
4,2009,1,2,Folklore,Dumbtron,Alarming heat at the heels of a punk politician / Trump tall tales with a bump full of bomb fission
5,2011,1,2,P.A.,Mac Miller,Donald Trump with better hair
6,2013,1,2,Dis Ain't What You Want (Remix),French Montana,"You can hate, don't frown, my n---- / With Donald Trump in the trunk, my n----"
7,2013,2,2,Raiders Cap,Demigodz,Blow your wig to the side like hair on Donald Trump
8,2014,1,2,InHeiritance,King Mez,Trump for the china white and they mental like dynamite
9,2015,1,2,Constantly Hating,Young Thug,"Play with him, bitch you better off voting for Donald Trump"
10,2015,2,2,Driving Gloves,The Alchemist,I don疇嚙緣 fuck with Donald Trump he don疇嚙緣 like us
11,2015,3,2,Florida State,RiFF RAFF,Come through and knock Donald Trump out his toupee
12,2015,4,2,Gratitude,Talib Kweli,Stop deportation we just chasing dreams / Donald Trump - King of Slavery
13,2015,5,2,Neighborhood Scientists,Migos,Assassinate Trump like I'm Zimmerman
14,2015,6,2,PlaneWalker,Bobby Raps,Don't look like change will happen soon / Donald Trump is all that they talk about
15,2015,7,2,She Wanna Fuck,Rick Ross,And I'm fuck wat Donald Trump talk bout I like change when I met Rosetta
16,2015,8,2,Up Like Trump,Rae Sremmurd,"Young n----s get it, fuck Donald Trump"
17,2015,9,2,Way It Go,SD,"And fuck Donald Trump, man / I'm sending you straight to Mexico to live in, motherfucker"
18,2015,10,2,Wet Dollars,Tink,Tie Donald Trump to a stump take a bump with him and a drag
19,2015,11,2,Black Friday,Kendrick Lamar,I'm fucked worse than Donald Trump on Lexapro in Mexico across from a Texaco in McDonald's drunk
20,2016,1,2,Bad Boy on Death Row,Dave East,"Donald Trump ain't safe on my block, gotcha your wifey at IHOP"
21,2016,2,2,Castle,Kevin Gates,I just told Donald Trump think about if you came from rubble
22,2016,3,2,CIT4DT,Dooley,We got a chopper in the trunk for Donald Trump
23,2016,4,2,Come Again,Rockie Fresh,We fucking up if we let Trump in the office
24,2016,5,2,Come Down (Remix),T.I.,"I fantasize shooting Trump down, A shot for every black man who got gunned down"
25,2016,6,2,Digest It,Tiara,"The world gon' end real soon, especially if Trump gets elected"
26,2016,7,2,Dope,T.I.,"Where I stay all they say is 冕Fuck Trump冕蕭, all day"
27,2016,8,2,FDT (Fuck Donald Trump),YG & Nipsey Hussle,Fuck Donald Trump
28,2016,9,2,FLEM,A$AP Ferg,"Trump win, I'm flying off the soil"
29,2016,10,2,I Need,Croosh,I want to buy Donald Trump and sell him to El Chapo
30,2016,11,2,No Smoke,Montana of 300,It's fuck all you n----s like Trump
31,2016,12,2,Nobody Speak,El-P,Flame your crew quicker than Trump fucks his youngest
32,2016,13,2,Red Drops,Limbz,My main problem with Trump is how he uses money as distortion / Shows that one man's cash can be everyone's misfortune
33,2016,14,2,Thought U Lost It,Caskey,Our country-fucked if I'm assessin' the candidates / If Donald Trump wins maybe a man of space
34,2016,15,2,Wicked Freestyle,Jadakiss,Got the cuban sitting on the fuck Trump crewneck
35,2017,0,4,4,4,4
