index,year,count,sentiment,song,singer,line
0,1988,0,4,4,4,4
1,1989,1,1,LIE-Z,Fat Boys,"Boy, I got money like Donald Trump!"
2,1989,2,1,My Word Is Bond,Donald D,"And after that me and Donald Trump hung out / Donald talkin' 'bout Donald Trump,' man, y'all is crazy"
3,1990,1,1,I Gotta Say What Up!!!,Ice Cube,Cause he makin' more than Donald Trump
4,1990,2,1,Skill Trade,Nice,I'm not rich like Donald Trump
5,1991,1,1,Money and the Power,Scarface,"n---- rollin hard, stackin paper like Trump"
6,1991,2,1,Skypager,A Tribe Called Quest,Beeper's goin off like Don Trump gets checks
7,1992,1,1,Da Funk,Redman,I'm well known like Donald Trump
8,1992,2,1,Jussummen,Das EFX,I went and break a slut like Donald Trump can break a million
9,1992,3,1,Pocket Full of Stones,UGK,Fuck Black Caesar n----s call me Black Trump
10,1994,1,1,211,Master P,Put more cash in my pockets than Donald Trump
11,1994,2,1,Once Upon a Time,King Sun,Today I'm livin large as if my last name was Trump
12,1994,3,1,Pimps (Free Stylin at the Fortune 500 Club),The Coup,Trump Trump check out the cash in my trunk / I am Donald Trump me think you mighta heard about me
13,1995,1,1,Incarcerated Scarfaces,Raekwon,"Rae's a heavy generator, but yo, guess who's the black Trump? / You rolling like Trump, you get your meat lumped"
14,1995,2,1,Money Talks,Double X Posse,A bank account so fat that Donald Trump would wanna be me
15,1995,3,1,Protect Ya Neck II the Zoo,12 O'Clock - Brooklyn Zu,"Given the power punch, soon to be paid like Donald Trump"
16,1995,4,1,Zoom Zooms and Wam Wam,Jay-O-Felony,"I wanna be like Donald Trump, not Willie Lump-Lump"
17,1996,1,1,Cross 'Em Out and Put a 'K,Westside Connection,I smoke and make dough like Trump
18,1996,2,1,Give It Up Fast,Nas,I need a suite with the flowers complimentary at Trump Towers
19,1996,3,1,Paid,Kid Rock,I'll still be in the house getting paid like Trump
20,1997,1,1,Street 2 Street,Jay-O-Felony,Smokin the hump with dreams of livin lavish like Donald Trump
21,1998,1,1,Mafioso,Kool G. Rap,Can't stop until I got a Casa up in Trump plaza
22,1998,2,1,Strip Club Luv,69 Boyz,Girl if your beauty was a dollar you'd be richer than Trump
23,1998,3,1,Tell Me What You're Lookin' For,Kane & Abel,"Kane and Abel in this bitch, gettin' rich as Trump"
24,1998,4,1,Three Strikes You In,Ice Cube,I'm just tryin' to get rich like Trump
25,1998,5,1,Tru Master,Pete Rock,In hot pursuit of Donald Trump rap loot
26,1998,6,1,Trump Change,E-40,"Trump change, I'm talkin Donald Trump change"
27,1999,1,1,Money Is My Bitch,Nas,The best couple they seen since Trump and Marla Maple
28,1999,2,1,Muzzle Toe,Wu-Syndicate,"It's reg or not, pockets love Trump Donald"
29,1999,3,1,Speed Law,Yasiin Bey (Mos Def),Rocked the Trump Tower to the terrordome
30,1999,4,1,Turn It Into Somethin',Frost,Real G's posted up at the Trump Towers
31,2000,1,1,Bad Boyz,Shyne,What type of n---- stay in the Trump for weeks? (Bad Boyz)
32,2000,2,1,Country Grammar (Hot Shit),Nelly,"Bill Gates, Donald Trump, let me in now"
33,2000,3,1,E.I.,Nelly,Get a room in Trump Towers just to hit the P hours
34,2000,4,1,Hey Papi,Jay Z,I went to 1 Trump Plaza on their asses
35,2000,5,1,I'm Ballin' Man,Drama,More realer than Rockafeller more cheese than Donald Trump
36,2000,6,1,Spend Some Cheese,Shyne,"Like Don Trump, Black Ted Turner, totin burners"
37,2000,7,1,What's Up Wit Dat,Lil Wayne,Next time you see me I'll have money like Donald Trump
38,2001,1,1,Big Tyme,Stretch,"I'm beyond that, livin' like Trump"
39,2001,2,1,Everywhere I Go,Tha Eastsidaz,I got a room at the Trump / Later on we can slump
40,2002,1,1,50/Banks,50 Cent,"We can talk Trump talk, real estate, stocks, and bonds"
41,2002,2,1,Boughetto,Ali,"Trump money, but it's still the motel and Kyjuan"
42,2002,3,1,Crazy,50 Cent,Now I'm paid - catch me in the Trump Tower lobby
43,2002,4,1,Get Paid,Styles P,"Tryin' to see my shit in the Forbes, Trump Tower for 'self"
44,2002,5,1,Pussy,Strings,I'm sitting on some make em holla pussy / Bill Gates Donald Trump million dollar pussy
45,2002,6,1,Take It Off Part 2,Busta Rhymes,Kennedy loft hoes mackin at the top of the Trump Towers
46,2002,7,1,Thug Chronicles,Kool G. Rap,Collect Trump papers with pumps and gauges
47,2003,1,1,Hip Hop Quotables,Ludacris,"I buy cars with straight cash, have meetings with Donald Trump"
48,2003,2,1,Nothing More,DeDa,"Cause boom, you can be Donald Trump and shit"
49,2003,3,1,Shorty,Chingy,"I'm the young Donald Trump, is y'all hearin me?"
50,2003,4,1,What More Can I Say,Jay Z,I'm at the Trump International: ask for me I ain't never scared
51,2004,1,1,Feel the Beat,LL Cool J,Spend a night in Trump Towers with a blue eyed blonde
52,2004,2,1,Get Down,Lil Wayne,I gotta hold up my estate like Donald Trump
53,2004,3,1,Shyne,Shyne,"And dick for you bitches, up in the Trump Tower"
54,2004,4,1,Tim Westwood Freestyle,Kanye West,"Uh, more like Donald Trump, with the way I get it crunk"
55,2005,1,1,Living the Life,The Notorious B.I.G.,"Twenty seven cars and a twelve bedroom house, Now they call me Snoopy Trump"
56,2005,2,1,One Name,Sheek Louch,"Big trips, Louis bags, welcome to the ice (bling) / Rock big enough to make Trump look twice"
57,2005,3,1,Shut Up Bitch,Lil Kim,"I'm in the Trump International, 30 floors up (so high)"
58,2005,4,1,Thug Motivation 101,Jeezy,I'm Donald Trump in a white tee and white 1's (chea)
59,2006,1,1,Ba Bump,Black Eyed Peas,And if you got money fellas keep it like Trump
60,2006,2,1,Buy U Some 2,Erick Sermon,"No need to talk about the reeiches, I mean Trump punk"
61,2006,3,1,Coke & Wet,Spank Rock,"That's Wall Street, Donald Trump, bass grilla stack"
62,2006,4,1,Favorite Drug,Styles P,"Got a blunt blaze it up, we can get a room in the Trump"
63,2006,5,1,It's Goin' Down,Yung Joc,Boys from the hood call me black Donald Trump
64,2006,6,1,Jealousy,Fat Joe,We fuckin with Donald Trump now
65,2006,7,1,Kick it Like That,Styles P,"I'm at the double-oh suites of Trump, for at least a month"
66,2006,8,1,We Gon' Make It,Diddy,"That Bill Gates, Donald Trump, Bloomberg money"
67,2006,9,1,Yeah Yeah Yeah,Akala,"It amazes me, these rappers are so dumb / Get they advance and think they Trump"
68,2007,1,1,Blow Ya Mind Remix,Jadakiss,"Pump haze, blow sour, top floor of the Trump Towers"
69,2007,2,1,Invisible Man,Joe Budden,"One's national, Trump International, rational"
70,2007,3,1,Success,Jay Z,I got watches I ain't seen in months / Apartment at the Trump; I only slept in once
71,2008,1,1,Loose,Spank Rock,"Ain't that what you want, a Hilton ain't a Trump"
72,2008,2,1,Make the World Go Round,Nas,Get the whole Trump Tower top floor for the hood
