index,year,count,sentiment,song,singer,line
0,1988,0,4,4,4,4
1,1989,1,0,Johnny Ryall,Beastie Boys,Donald Trump and Donald Tramp living in the men's Shelter
2,1989,2,1,LIE-Z,Fat Boys,"Boy, I got money like Donald Trump!"
3,1989,3,1,My Word Is Bond,Donald D,"And after that me and Donald Trump hung out / Donald talkin' 'bout Donald Trump,' man, y'all is crazy"
4,1990,1,1,I Gotta Say What Up!!!,Ice Cube,Cause he makin' more than Donald Trump
5,1990,2,1,Skill Trade,Nice,I'm not rich like Donald Trump
6,1991,1,1,Money and the Power,Scarface,"n---- rollin hard, stackin paper like Trump"
7,1991,2,1,Skypager,A Tribe Called Quest,Beeper's goin off like Don Trump gets checks
8,1992,1,0,Dolly and the Rat Trap,Ultramagnetic MC's,Look at Donald Trump!
9,1992,2,1,Da Funk,Redman,I'm well known like Donald Trump
10,1992,3,1,Jussummen,Das EFX,I went and break a slut like Donald Trump can break a million
11,1992,4,1,Pocket Full of Stones,UGK,Fuck Black Caesar n----s call me Black Trump
12,1993,1,2,The Coup,The Coup,"Break yourself Trump, it's collection day"
13,1994,1,1,211,Master P,Put more cash in my pockets than Donald Trump
14,1994,2,1,Once Upon a Time,King Sun,Today I'm livin large as if my last name was Trump
15,1994,3,1,Pimps (Free Stylin at the Fortune 500 Club),The Coup,Trump Trump check out the cash in my trunk / I am Donald Trump me think you mighta heard about me
16,1995,1,1,Incarcerated Scarfaces,Raekwon,"Rae's a heavy generator, but yo, guess who's the black Trump? / You rolling like Trump, you get your meat lumped"
17,1995,2,1,Money Talks,Double X Posse,A bank account so fat that Donald Trump would wanna be me
18,1995,3,1,Protect Ya Neck II the Zoo,12 O'Clock - Brooklyn Zu,"Given the power punch, soon to be paid like Donald Trump"
19,1995,4,1,Zoom Zooms and Wam Wam,Jay-O-Felony,"I wanna be like Donald Trump, not Willie Lump-Lump"
20,1996,1,1,Cross 'Em Out and Put a 'K,Westside Connection,I smoke and make dough like Trump
21,1996,2,1,Give It Up Fast,Nas,I need a suite with the flowers complimentary at Trump Towers
22,1996,3,1,Paid,Kid Rock,I'll still be in the house getting paid like Trump
23,1997,1,0,The Ebonic Plague,Ras Kass,Donald Trump wouldn't let you shine his shoes my man
24,1997,2,1,Street 2 Street,Jay-O-Felony,Smokin the hump with dreams of livin lavish like Donald Trump
25,1998,1,0,Soldiers,Master P,Follow me dumpin' n----s study humpin' I ain't Donald Trump
26,1998,2,1,Mafioso,Kool G. Rap,Can't stop until I got a Casa up in Trump plaza
27,1998,3,1,Strip Club Luv,69 Boyz,Girl if your beauty was a dollar you'd be richer than Trump
28,1998,4,1,Tell Me What You're Lookin' For,Kane & Abel,"Kane and Abel in this bitch, gettin' rich as Trump"
29,1998,5,1,Three Strikes You In,Ice Cube,I'm just tryin' to get rich like Trump
30,1998,6,1,Tru Master,Pete Rock,In hot pursuit of Donald Trump rap loot
31,1998,7,1,Trump Change,E-40,"Trump change, I'm talkin Donald Trump change"
32,1999,1,0,Fire,Makeba Mooncycle,Playin Donald Trump for the mic with this
33,1999,2,0,New World,Nas,The new Don Trump is Bill Gates
34,1999,3,1,Money Is My Bitch,Nas,The best couple they seen since Trump and Marla Maple
35,1999,4,1,Muzzle Toe,Wu-Syndicate,"It's reg or not, pockets love Trump Donald"
36,1999,5,1,Speed Law,Yasiin Bey (Mos Def),Rocked the Trump Tower to the terrordome
37,1999,6,1,Turn It Into Somethin',Frost,Real G's posted up at the Trump Towers
38,2000,1,0,Bonnie & Shyne,Shyne,"Did it all, Four Seasons to the Trump"
39,2000,2,0,Soundscience,Souls of Mischief,They high drama like Trump and Ivana
40,2000,3,1,Bad Boyz,Shyne,What type of n---- stay in the Trump for weeks? (Bad Boyz)
41,2000,4,1,Country Grammar (Hot Shit),Nelly,"Bill Gates, Donald Trump, let me in now"
42,2000,5,1,E.I.,Nelly,Get a room in Trump Towers just to hit the P hours
43,2000,6,1,Hey Papi,Jay Z,I went to 1 Trump Plaza on their asses
44,2000,7,1,I'm Ballin' Man,Drama,More realer than Rockafeller more cheese than Donald Trump
45,2000,8,1,Spend Some Cheese,Shyne,"Like Don Trump, Black Ted Turner, totin burners"
46,2000,9,1,What's Up Wit Dat,Lil Wayne,Next time you see me I'll have money like Donald Trump
47,2001,1,0,Ghetto Manifesto,The Coup,Met Donald Trump and he froze up
48,2001,2,1,Big Tyme,Stretch,"I'm beyond that, livin' like Trump"
49,2001,3,1,Everywhere I Go,Tha Eastsidaz,I got a room at the Trump / Later on we can slump
50,2002,1,0,John They're Stealing,Thirstin Howl III,"Sold to Donald Trump, for personal checks"
51,2002,2,0,Wet! Wet! Wet!,Princess Superstar,"Wet in the elevator, Trump Tower or my lunch hour"
52,2002,3,1,50/Banks,50 Cent,"We can talk Trump talk, real estate, stocks, and bonds"
53,2002,4,1,Boughetto,Ali,"Trump money, but it's still the motel and Kyjuan"
54,2002,5,1,Crazy,50 Cent,Now I'm paid - catch me in the Trump Tower lobby
55,2002,6,1,Get Paid,Styles P,"Tryin' to see my shit in the Forbes, Trump Tower for 'self"
56,2002,7,1,Pussy,Strings,I'm sitting on some make em holla pussy / Bill Gates Donald Trump million dollar pussy
57,2002,8,1,Take It Off Part 2,Busta Rhymes,Kennedy loft hoes mackin at the top of the Trump Towers
58,2002,9,1,Thug Chronicles,Kool G. Rap,Collect Trump papers with pumps and gauges
59,2003,1,1,Hip Hop Quotables,Ludacris,"I buy cars with straight cash, have meetings with Donald Trump"
60,2003,2,1,Nothing More,DeDa,"Cause boom, you can be Donald Trump and shit"
61,2003,3,1,Shorty,Chingy,"I'm the young Donald Trump, is y'all hearin me?"
62,2003,4,1,What More Can I Say,Jay Z,I'm at the Trump International: ask for me I ain't never scared
63,2004,1,1,Feel the Beat,LL Cool J,Spend a night in Trump Towers with a blue eyed blonde
64,2004,2,1,Get Down,Lil Wayne,I gotta hold up my estate like Donald Trump
65,2004,3,1,Shyne,Shyne,"And dick for you bitches, up in the Trump Tower"
66,2004,4,1,Tim Westwood Freestyle,Kanye West,"Uh, more like Donald Trump, with the way I get it crunk"
67,2005,1,0,Good Morning,Cage,Donald Trump shotgun pumps illegal store fronts
68,2005,2,0,I Wish You Would,Chino XL,Music's my apprentice Donald Trump couldn't fire me
69,2005,3,1,Living the Life,The Notorious B.I.G.,"Twenty seven cars and a twelve bedroom house, Now they call me Snoopy Trump"
70,2005,4,1,One Name,Sheek Louch,"Big trips, Louis bags, welcome to the ice (bling) / Rock big enough to make Trump look twice"
71,2005,5,1,Shut Up Bitch,Lil Kim,"I'm in the Trump International, 30 floors up (so high)"
72,2005,6,1,Thug Motivation 101,Jeezy,I'm Donald Trump in a white tee and white 1's (chea)
73,2005,7,2,Dumb,The High & Mighty,"I'm Donald Trump, with raccoon hair-dos"
74,2005,8,2,Right to Bare Arms,Killah Priest,This one's for the cops and the war lord Trump
75,2006,1,0,Heavy Metal Kings,Jedi Mind Tricks,"I'm like Trump in the Apprentice, only fire at night"
76,2006,2,0,Playas Only,The Game,Bet she ain't never seen the penthouse at The Trump
77,2006,3,0,The N,Nas,The Apprentice but not Trump
